Donor,codename,New code,recipient,checks
11.11.11 - Koepel van de Vlaamse Noord-Zuidbeweging vzw,private individual organisations,,private individual organisations,TRUE
21 Century Unification Service Organization,other,,other,TRUE
3Com,private sector corporations,,private sector corporations,TRUE
3M,private sector corporations,,private sector corporations,TRUE
A Call to Serve InterNational,NGOs,,NGOs,TRUE
AABO AKADEMI UNIVERSITY,academia/think/research,,academia/think/research,TRUE
Aadamiga USA,NGOs,,NGOs,TRUE
AAGAHI,NGOs,,NGOs,TRUE
Aamin Voluntary Relief Organization,NGOs,,NGOs,TRUE
AAP,other,,other,TRUE
AAPKI Foundation,foundations,,foundations,TRUE
AASAA,other,,other,TRUE
Aayo Development Foundation,NGOs,,NGOs,TRUE
Abbott Laboratories,private sector corporations,,private sector corporations,TRUE
ABC Children's Aid,NGOs,,NGOs,TRUE
Abdul Latif Jameel Group,private sector corporations,,private sector corporations,TRUE
Abo Akademi University,academia/think/research,,academia/think/research,TRUE
Abraham's Oasis,NGOs,,NGOs,TRUE
Abt Associates,academia/think/research,,academia/think/research,TRUE
Abu Dhabi National Energy Company,private sector corporations,,private sector corporations,TRUE
Abu Dhabi Tourism Authority,NDD,,National government,TRUE
Abyei Community Action for Development,NGOs,,NGOs,TRUE
Academy Charity Teaching Hospital,academia/think/research,,academia/think/research,TRUE
Academy for Educational Development,academia/think/research,,academia/think/research,TRUE
ACBAR - Agency Coordinating Body for Afghan Relief,NGOs,,NGOs,TRUE
Accenture,private sector corporations,,private sector corporations,TRUE
Access Aid and Development,NGOs,,NGOs,TRUE
Access Development and Relief Organization,NGOs,,NGOs,TRUE
Access Relief and Development,other,,other,TRUE
Access to Quality Education Program,other,DAC governments,DAC governments,FALSE
Accio Solidaria IGMAN,NGOs,,NGOs,TRUE
Accion Contra el Hambre,NGOs,,NGOs,TRUE
ACDI/VOCA,NGOs,,NGOs,TRUE
ACE Charitable Foundation,NGOs,,NGOs,TRUE
Aceh’s People Forum,NGOs,,NGOs,TRUE
ACF - Canada,NGOs,,NGOs,TRUE
ACF - France,NGOs,,NGOs,TRUE
ACF - Spain,NGOs,,NGOs,TRUE
ACF - UK,NGOs,,NGOs,TRUE
ACF - USA,NGOs,,NGOs,TRUE
ACFOA,NGOs,,NGOs,TRUE
ACH - UK,NGOs,,NGOs,TRUE
ACH-UK/INTERMON,other,,other,TRUE
ACT Alliance,NGOs,,NGOs,TRUE
ACT Alliance ,NGOs,,NGOs,TRUE
ACT Alliance / Act for Peace,NGOs,,NGOs,TRUE
ACT Alliance / Amity Foundation,NGOs,,NGOs,TRUE
ACT Alliance / Bread for the World,NGOs,,NGOs,TRUE
ACT Alliance / Canadian Lutheran World Relief,NGOs,,NGOs,TRUE
ACT Alliance / Christian Aid,NGOs,,NGOs,TRUE
ACT Alliance / Christian Aid Ministries Nehemia,NGOs,,NGOs,TRUE
ACT Alliance / Christian Aid UK,NGOs,,NGOs,TRUE
ACT Alliance / Christian Care,NGOs,,NGOs,TRUE
ACT Alliance / Christian Commission for Development in Bangladesh,NGOs,,NGOs,TRUE
ACT Alliance / Christian Reformed World Relief Committee (Valid until August 2012),NGOs,,NGOs,TRUE
ACT Alliance / Church of Sweden,NGOs,,NGOs,TRUE
ACT Alliance / Church World Service,NGOs,,NGOs,TRUE
ACT Alliance / Church World Service - Indonesia,NGOs,,NGOs,TRUE
ACT Alliance / DanChurchAid,NGOs,,NGOs,TRUE
"ACT Alliance / Diakonia, Sweden",NGOs,,NGOs,TRUE
ACT Alliance / Diakonie,NGOs,,NGOs,TRUE
ACT Alliance / Diakonie Austria,NGOs,,NGOs,TRUE
ACT Alliance / Diakonie Emergency Aid,NGOs,,NGOs,TRUE
ACT Alliance / Ethiopian Orthodox Church,NGOs,,NGOs,TRUE
ACT Alliance / Finn Church Aid,NGOs,,NGOs,TRUE
ACT Alliance / Finnchurchaid/ Mines Advisory Group,NGOs,,NGOs,TRUE
ACT Alliance / Hungarian Interchurch Aid,NGOs,,NGOs,TRUE
ACT Alliance / Icelandic Church Aid,NGOs,,NGOs,TRUE
ACT Alliance / Interchurch Organisation for Development Co-operation,NGOs,,NGOs,TRUE
ACT Alliance / Kerk in Actie - Netherlands,NGOs,,NGOs,TRUE
ACT Alliance / Life With Dignity,NGOs,,NGOs,TRUE
ACT Alliance / Lutheran Development Service,NGOs,,NGOs,TRUE
ACT Alliance / Lutheran World Federation,NGOs,,NGOs,TRUE
ACT Alliance / Lutheran World Relief,NGOs,,NGOs,TRUE
ACT Alliance / Lutheran World Relief (LWR/Canada),NGOs,,NGOs,TRUE
ACT Alliance / National Council of Churches of Kenya,NGOs,,NGOs,TRUE
ACT Alliance / Norwegian Church Aid,NGOs,,NGOs,TRUE
ACT Alliance / Presbyterian Disaster Assistance,NGOs,,NGOs,TRUE
ACT Alliance / Solidarité Protestante,NGOs,,NGOs,TRUE
ACT Alliance / Sudan Council of Churches,NGOs,,NGOs,TRUE
ACT Alliance / United Church of Canada,NGOs,,NGOs,TRUE
ACT Alliance / United Methodist Committee on Relief,NGOs,,NGOs,TRUE
ACT Alliance / World Renew,NGOs,,NGOs,TRUE
ACT Alliance / YAKKUM Emergency Unit,NGOs,,NGOs,TRUE
ACT Netherlands,NGOs,,NGOs,TRUE
ACT/Diakonie,NGOs,,NGOs,TRUE
Actavis Group,private sector corporations,,private sector corporations,TRUE
Actelion,private sector corporations,,private sector corporations,TRUE
Action Against Disasters Somalia,NGOs,,NGOs,TRUE
Action Against Hunger,NGOs,,NGOs,TRUE
Action Aid,NGOs,,NGOs,TRUE
Action by Churches Together (ACT),NGOs,,NGOs,TRUE
Action Contre la Faim,NGOs,,NGOs,TRUE
Action contre la Faim / contra Hambre / Against Hunger,NGOs,,NGOs,TRUE
Action Contre la Faim-Espagne,NGOs,,NGOs,TRUE
Action Contre la Faim-France,NGOs,,NGOs,TRUE
Action Contre la Pauvreté (ACP),NGOs,,NGOs,TRUE
Action de Dévelopement Durable en Afrique,NGOs,,NGOs,TRUE
Action de lutte contre la pollution des sources et des puits,other,,other,TRUE
Action d'Espoir,NGOs,,NGOs,TRUE
Action d'Urgence InterNational,NGOs,,NGOs,TRUE
Action for Community Transformation Organization - Afghanistan,NGOs,,NGOs,TRUE
Action for Independent Media,other,,other,TRUE
Action for Relief and Development,NGOs,,NGOs,TRUE
Action for Youth & Environmental Development,other,,other,TRUE
Action on Armed Violence,NGOs,,NGOs,TRUE
Action pour le Bien Etre Communautaire (ABC),NGOs,,NGOs,TRUE
Action pour le Développement Intégral au Kivu,NGOs,,NGOs,TRUE
Action pour un Monde Uni,NGOs,,NGOs,TRUE
Action Solidarité Tiers Monde,NGOs,,NGOs,TRUE
ActionAid,NGOs,,NGOs,TRUE
ActionAid InterNational NEPAL,NGOs,,NGOs,TRUE
ACTIONAID InterNational ZIMBABWE,NGOs,,NGOs,TRUE
ActionAid-Uganda,NGOs,,NGOs,TRUE
Actions et Interventions pour le Développement et l'Encadrement Social,NGOs,,NGOs,TRUE
Actions Médicales InterNationale,NGOs,,NGOs,TRUE
Actions pour la Protection et l’Encadrement de l’Enfant,NGOs,,NGOs,TRUE
Actions pour le Developpement Integre en Mileu Rural,NGOs,,NGOs,TRUE
Active Development Aid,NGOs,,NGOs,TRUE
Active in Development Association,private individual organisations,,private individual organisations,TRUE
Active Learning Network for Accountability and Performance,NGOs,,academia/think/research,TRUE
ACU/START,other,,other,TRUE
Acumet Catholic Parish,private individual organisations,,private individual organisations,TRUE
Ad Council,NGOs,,NGOs,TRUE
ADA,NGOs,,NGOs,TRUE
Adam's Peak,other,,other,TRUE
ADC Foundation,foundations,,foundations,TRUE
Admira,NGOs,,NGOs,TRUE
Adobe,private sector corporations,,private sector corporations,TRUE
ADRA Cambodia,NGOs,,NGOs,TRUE
ADRA Canada,NGOs,,NGOs,TRUE
ADRA Denmark,NGOs,,NGOs,TRUE
ADRA Germany,NGOs,,NGOs,TRUE
ADRA Nepal,NGOs,,NGOs,TRUE
ADRA PASMIC,NGOs,,NGOs,TRUE
ADRA Sweden,NGOs,,NGOs,TRUE
ADRA UK,NGOs,,NGOs,TRUE
ADRA Yemen,NGOs,,NGOs,TRUE
ADRA Zimbabwe,NGOs,,NGOs,TRUE
ADRA/HELP InterNational,NGOs,,NGOs,TRUE
ADRA/SCDO,NGOs,,NGOs,TRUE
ADRA-Haiti,NGOs,,NGOs,TRUE
ADU_04,other,,other,TRUE
Advancement for Small Enterprise Programme,NGOs,,NGOs,TRUE
Advantest Corporation,private sector corporations,,private sector corporations,TRUE
Advent Software,private sector corporations,,private sector corporations,TRUE
Adventist Development and Relief Agency ,NGOs,,NGOs,TRUE
Adventist Development and Relief Agency - Nepal,NGOs,,NGOs,TRUE
Adventist Development and Relief Agency (New Zealand),NGOs,,NGOs,TRUE
Aertze der Welt e.V.,NGOs,,NGOs,TRUE
