Donor,Deflatorvalue
11.11.11 - Koepel van de Vlaamse Noord-Zuidbeweging vzw,1.015410128
21 Century Unification Service Organization,1.015410128
3Com,1.015410128
3M,1.015410128
A Call to Serve InterNational,1.015410128
AABO AKADEMI UNIVERSITY,1.015410128
Aadamiga USA,1.015410128
AAGAHI,1.015410128
Aamin Voluntary Relief Organization,1.015410128
AAP,1.015410128
AAPKI Foundation,1.015410128
AASAA,1.015410128
Aayo Development Foundation,1.015410128
Abbott Laboratories,1.015410128
ABC Children's Aid,1.015410128
Abdul Latif Jameel Group,1.015410128
Abo Akademi University,1.015410128
Abraham's Oasis,1.015410128
Abt Associates,1.015410128
Abu Dhabi National Energy Company,1.015410128
Abu Dhabi Tourism Authority,1.015410128
Abyei Community Action for Development,1.015410128
Academy Charity Teaching Hospital,1.015410128
Academy for Educational Development,1.015410128
ACBAR - Agency Coordinating Body for Afghan Relief,1.015410128
Accenture,1.015410128
Access Aid and Development,1.015410128
Access Development and Relief Organization,1.015410128
Access Relief and Development,1.015410128
Access to Quality Education Program,1.015410128
Accio Solidaria IGMAN,1.015410128
Accion Contra el Hambre,1.015410128
ACDI/VOCA,1.015410128
ACE Charitable Foundation,1.015410128
Aceh?s People Forum,1.015410128
ACF - Canada,1.015410128
ACF - France,1.015410128
ACF - Spain,1.015410128
ACF - UK,1.015410128
ACF - USA,1.015410128
ACFOA,1.015410128
ACH - UK,1.015410128
ACH-UK/INTERMON,1.015410128
ACT Alliance,1.015410128
ACT Alliance ,1.015410128
ACT Alliance / Act for Peace,1.015410128
ACT Alliance / Amity Foundation,1.015410128
ACT Alliance / Bread for the World,1.015410128
ACT Alliance / Canadian Lutheran World Relief,1.015410128
ACT Alliance / Christian Aid,1.015410128
ACT Alliance / Christian Aid Ministries Nehemia,1.015410128
ACT Alliance / Christian Aid UK,1.015410128
ACT Alliance / Christian Care,1.015410128
ACT Alliance / Christian Commission for Development in Bangladesh,1.015410128
ACT Alliance / Christian Reformed World Relief Committee (Valid until August 2012),1.015410128
ACT Alliance / Church of Sweden,1.015410128
ACT Alliance / Church World Service,1.015410128
ACT Alliance / Church World Service - Indonesia,1.015410128
ACT Alliance / DanChurchAid,1.015410128
"ACT Alliance / Diakonia, Sweden",1.015410128
ACT Alliance / Diakonie,1.015410128
ACT Alliance / Diakonie Austria,1.015410128
ACT Alliance / Diakonie Emergency Aid,1.015410128
ACT Alliance / Ethiopian Orthodox Church,1.015410128
ACT Alliance / Finn Church Aid,1.015410128
ACT Alliance / Finnchurchaid/ Mines Advisory Group,1.015410128
ACT Alliance / Hungarian Interchurch Aid,1.015410128
ACT Alliance / Icelandic Church Aid,1.015410128
ACT Alliance / Interchurch Organisation for Development Co-operation,1.015410128
ACT Alliance / Kerk in Actie - Netherlands,1.015410128
ACT Alliance / Life With Dignity,1.015410128
ACT Alliance / Lutheran Development Service,1.015410128
ACT Alliance / Lutheran World Federation,1.015410128
ACT Alliance / Lutheran World Relief,1.015410128
ACT Alliance / Lutheran World Relief (LWR/Canada),1.015410128
ACT Alliance / National Council of Churches of Kenya,1.015410128
ACT Alliance / Norwegian Church Aid,1.015410128
ACT Alliance / Presbyterian Disaster Assistance,1.015410128
ACT Alliance / SolidaritÇ Protestante,1.015410128
ACT Alliance / Sudan Council of Churches,1.015410128
ACT Alliance / United Church of Canada,1.015410128
ACT Alliance / United Methodist Committee on Relief,1.015410128
ACT Alliance / World Renew,1.015410128
ACT Alliance / YAKKUM Emergency Unit,1.015410128
ACT Netherlands,1.015410128
ACT/Diakonie,1.015410128
Actavis Group,1.015410128
Actelion,1.015410128
Action Against Disasters Somalia,1.015410128
Action Against Hunger,1.015410128
Action Aid,1.015410128
Action by Churches Together (ACT),1.015410128
Action Contre la Faim,1.015410128
Action contre la Faim / contra Hambre / Against Hunger,1.015410128
Action Contre la Faim-Espagne,1.015410128
Action Contre la Faim-France,1.015410128
Action Contre la PauvretÇ (ACP),1.015410128
Action de DÇvelopement Durable en Afrique,1.015410128
Action de lutte contre la pollution des sources et des puits,1.015410128
Action d'Espoir,1.015410128
Action d'Urgence InterNational,1.015410128
Action for Community Transformation Organization - Afghanistan,1.015410128
Action for Independent Media,1.015410128
Action for Relief and Development,1.015410128
Action for Youth & Environmental Development,1.015410128
Action on Armed Violence,1.015410128
Action pour le Bien Etre Communautaire (ABC),1.015410128
Action pour le DÇveloppement IntÇgral au Kivu,1.015410128
Action pour un Monde Uni,1.015410128
Action SolidaritÇ Tiers Monde,1.015410128
ActionAid,1.015410128
ActionAid InterNational NEPAL,1.015410128
ACTIONAID InterNational ZIMBABWE,1.015410128
ActionAid-Uganda,1.015410128
Actions et Interventions pour le DÇveloppement et l'Encadrement Social,1.015410128
Actions MÇdicales InterNationale,1.015410128
Actions pour la Protection et l?Encadrement de l?Enfant,1.015410128
Actions pour le Developpement Integre en Mileu Rural,1.015410128
Active Development Aid,1.015410128
Active in Development Association,1.015410128
Active Learning Network for Accountability and Performance,1.015410128
ACU/START,1.015410128
Acumet Catholic Parish,1.015410128
Ad Council,1.015410128
ADA,1.015410128
Adam's Peak,1.015410128
ADC Foundation,1.015410128
Admira,1.015410128
Adobe,1.015410128
ADRA Cambodia,1.015410128
ADRA Canada,1.015410128
ADRA Denmark,1.015410128
ADRA Germany,1.015410128
ADRA Nepal,1.015410128
ADRA PASMIC,1.015410128
ADRA Sweden,1.015410128
ADRA UK,1.015410128
ADRA Yemen,1.015410128
ADRA Zimbabwe,1.015410128
ADRA/HELP InterNational,1.015410128
ADRA/SCDO,1.015410128
ADRA-Haiti,1.015410128
ADU_04,1.015410128
Advancement for Small Enterprise Programme,1.015410128
Advantest Corporation,1.015410128
Advent Software,1.015410128
Adventist Development and Relief Agency ,1.015410128
Adventist Development and Relief Agency - Nepal,1.015410128
Adventist Development and Relief Agency (New Zealand),1.015410128
Aertze der Welt e.V.,1.015410128
Aerzte fÅr die Dritte Welt,1.015410128
Aetna Foundation,1.015410128
AFCAP,1.015410128
AFD,1.015410128
Afghan Center,1.015410128
Afghan Development Association,1.015410128
Afghan Global Development Organization,1.015410128
Afghan Health & Development Services,1.015410128
Afghan Health and Social Assistance Organisation,1.015410128
Afghan Ministry of Planning,1.015410128
Afghan Mobile Reconstruction Association,1.015410128
Afghan NGO Security Office,1.015410128
Afghan Reconstruction Trust Fund,1.015410128
Afghan Reconstruction Trust Fund ,1.015410128
Afghan Red Crescent,1.015410128
Afghan Red Crescent Society,1.015410128
Afghan Research and Evaluation Unit,1.015410128
Afghan Social and Agricultural Affairs Rehabilitation Organization,1.015410128
Afghan Technical Consultants,1.015410128
Afghan Women Association for Rehabilitation & Development,1.015410128
Afghanaid,1.015410128
Afghanischer Arzteverein in Deutschland e.V.,1.015410128
Afghanistan,0.916051899
Afghanistan Demain,1.015410128
Afghanistan Development & Educational Organization,1.015410128
Afghanistan Independent Human Rights Commission,1.015410128
Afghanistan Landmine Survivors' Organisation,1.015410128
Afghanistan Solidarity Organization,1.015410128
Afghanistan-Hilfe e.V.,1.015410128
Afkar Society for Development and Humanitarian Relief,1.015410128
Aflac,1.015410128
Africa 2000 Network,1.015410128
Africa Centre for Holistic Management,1.015410128
Africa Directo,1.015410128
Africa Humanitarian Action,1.015410128
Africa Muslims Agency (Johannesburg),1.015410128
African Child Outreach Trust,1.015410128
African Commission Human and People's Rights,1.015410128
African Development and Emergency Organisation,1.015410128
African Development Bank,1.015410128
African Development Solutions,1.015410128
African Educational Trust,1.015410128
African Medical and Research Foundation,1.015410128
African Mission in Burundi,1.015410128
African Network for the Prevention and Protection Against Child Abuse and Neglect in Somalia,1.015410128
African Rescue Committee,1.015410128
African Revival Ministries,1.015410128
African Union,1.015410128
African Union Mission in Somalia,1.015410128
African Union Mission in Sudan,1.015410128
African Union Mission in Sudan ,1.015410128
Africare,1.015410128
Africare ,1.015410128
Africare/Catholic Relief Services,1.015410128
Afrique Verte Mali,1.015410128
Afrique Verte Niger,1.015410128
Aga Khan Development Network,1.015410128
Aga Khan Foundation,1.015410128
Aga Khan Foundation Tajikistan,1.015410128
AGEF,1.015410128
Agence d'Assistance aux Rapatries et Refugies au Congo,1.015410128
