Recipient Organization,recipientcodename,
11.11.11 - Koepel van de Vlaamse Noord-Zuidbeweging vzw,private individual organisations,
21 Century Unification Service Organization,other,
3Com,private sector corporations,
3M,private sector corporations,
A Call to Serve InterNational,NGOs,
AABO AKADEMI UNIVERSITY,academia/think/research,
Aadamiga USA,NGOs,
AAGAHI,NGOs,
Aamin Voluntary Relief Organization,NGOs,
AAP,other,
AAPKI Foundation,foundations,
AASAA,other,
Aayo Development Foundation,NGOs,
Abbott Laboratories,private sector corporations,
ABC Children's Aid,NGOs,
Abdul Latif Jameel Group,private sector corporations,
Abo Akademi University,academia/think/research,
Abraham's Oasis,NGOs,
Abt Associates,academia/think/research,
Abu Dhabi National Energy Company,private sector corporations,
Abu Dhabi Tourism Authority,National government,
Abyei Community Action for Development,NGOs,
Academy Charity Teaching Hospital,academia/think/research,
Academy for Educational Development,academia/think/research,
ACBAR - Agency Coordinating Body for Afghan Relief,NGOs,
Accenture,private sector corporations,
Access Aid and Development,NGOs,
Access Development and Relief Organization,NGOs,
Access Relief and Development,other,
Access to Quality Education Program,DAC governments,
Accio Solidaria IGMAN,NGOs,
Accion Contra el Hambre,NGOs,
ACDI/VOCA,NGOs,
ACE Charitable Foundation,NGOs,
Aceh’s People Forum,NGOs,
ACF - Canada,NGOs,
ACF - France,NGOs,
ACF - Spain,NGOs,
ACF - UK,NGOs,
ACF - USA,NGOs,
ACFOA,NGOs,
ACH - UK,NGOs,
ACH-UK/INTERMON,other,
ACT Alliance,NGOs,
ACT Alliance ,NGOs,
ACT Alliance / Act for Peace,NGOs,
ACT Alliance / Amity Foundation,NGOs,
ACT Alliance / Bread for the World,NGOs,
ACT Alliance / Canadian Lutheran World Relief,NGOs,
ACT Alliance / Christian Aid,NGOs,
ACT Alliance / Christian Aid Ministries Nehemia,NGOs,
ACT Alliance / Christian Aid UK,NGOs,
ACT Alliance / Christian Care,NGOs,
ACT Alliance / Christian Commission for Development in Bangladesh,NGOs,
ACT Alliance / Christian Reformed World Relief Committee (Valid until August 2012),NGOs,
ACT Alliance / Church of Sweden,NGOs,
ACT Alliance / Church World Service,NGOs,
ACT Alliance / Church World Service - Indonesia,NGOs,
ACT Alliance / DanChurchAid,NGOs,
"ACT Alliance / Diakonia, Sweden",NGOs,
ACT Alliance / Diakonie,NGOs,
ACT Alliance / Diakonie Austria,NGOs,
ACT Alliance / Diakonie Emergency Aid,NGOs,
ACT Alliance / Ethiopian Orthodox Church,NGOs,
ACT Alliance / Finn Church Aid,NGOs,
ACT Alliance / Finnchurchaid/ Mines Advisory Group,NGOs,
ACT Alliance / Hungarian Interchurch Aid,NGOs,
ACT Alliance / Icelandic Church Aid,NGOs,
ACT Alliance / Interchurch Organisation for Development Co-operation,NGOs,
ACT Alliance / Kerk in Actie - Netherlands,NGOs,
ACT Alliance / Life With Dignity,NGOs,
ACT Alliance / Lutheran Development Service,NGOs,
ACT Alliance / Lutheran World Federation,NGOs,
ACT Alliance / Lutheran World Relief,NGOs,
ACT Alliance / Lutheran World Relief (LWR/Canada),NGOs,
ACT Alliance / National Council of Churches of Kenya,NGOs,
ACT Alliance / Norwegian Church Aid,NGOs,
ACT Alliance / Presbyterian Disaster Assistance,NGOs,
ACT Alliance / Solidarité Protestante,NGOs,
ACT Alliance / Sudan Council of Churches,NGOs,
ACT Alliance / United Church of Canada,NGOs,
ACT Alliance / United Methodist Committee on Relief,NGOs,
ACT Alliance / World Renew,NGOs,
ACT Alliance / YAKKUM Emergency Unit,NGOs,
ACT Netherlands,NGOs,
ACT/Diakonie,NGOs,
Actavis Group,private sector corporations,
Actelion,private sector corporations,
Action Against Disasters Somalia,NGOs,
Action Against Hunger,NGOs,
Action Aid,NGOs,
Action by Churches Together (ACT),NGOs,
Action Contre la Faim,NGOs,
Action contre la Faim / contra Hambre / Against Hunger,NGOs,
