country,continent,regionUN,subregionUN,totalpop2015,under5pop,urbanpop,over65pop,u5mr2009,u5mr2010,u5mr2011,u5mr2012,u5mr2013,yearpov125_1,poverty125_1,yearpov125_2,poverty125_2,yearpov125_3,poverty125_3,yearpov125_4,poverty125_4,yearpov2_1,poverty2_1,yearpov2_2,poverty2_2,yearpov2_3,poverty2_3,yearpov2_4,poverty2_4,yearGDP_1,GDP_1,yearGDP_2,GDP_2,yearGDP_3,GDP_3,yearGDP_4,GDP_4,yearGDP_5,GDP_5,year_gini,value_gini,year_stunting_current,prev_stunting_current,number_stunting_current,current_aarr_stunting,reqd_aarr_stunting,stunting_progress,year_u5overweight,prev_u5overweight,number_u5overweight,current_aarr_u5overweight,reqd_aarr_u5overweight,u5overweight_progress,year_wasting,prev_wasting,number_wasting,wasting_progress,year_sev_wasting,number_sev_wasting,prev_sev_wasting,year_ebf_current,value_ebf_current,EBF_progress,year_lbw,LBW,year_stuntingtrend1,rate_stuntingtrend1,year_stuntingtrend2,rate_stuntingtrend2,year_stuntingtrend3,rate_stuntingtrend3,year_stuntingtrend4,rate_stuntingtrend4,year_stuntingtrend5,rate_stuntingtrend5,year_adolOWOB,AdolOW,AdolOB,year_heightBMI,prev_height145,prev_BMI185,year_adult_OB_OW,ow_male,ow_female,ow_bothsexes,ob_male,ob_female,ob_bothsexes,year_WRAanaemia,WRAanaemia_RATE,WRAanaemia_NUMBER,year_WHAtarget_WRAanaemia,WHAtarget_WRAanaemia1,year_vitA_def,prevalence_vita,year_IodineNutrition,Class_IodineNutrition,year_bloodglucose,BGboth,BGmale,BGfemale,year_bloodpressure,BPboth,BPmale,BPfemale,year_cholesterol,cholesterol_BOTH,cholesterol_MALE,cholesterol_FEMALE,YearMAD,MADTotal,YearMDD,MDDtotal,year_UNICEF_ANC_4,value_UNICEF_ANC_4,year_skilled,value_UNICEF_skilled_att,yearearly,early_BF,year_continued_BF,continued_BF,year_UNpop_Unmet_Needs,UnmetneedTotal,year_EBFtrend_1,EBF_trend_1,Source_EBFtrend1,year_EBFtrend_2,EBF_trend_2,Source_EBFtrend_2,year_EBFtrend_3,EBF_trend_3,Source_EBFtrend_3,year_SAM,SAMcoverage_rate,year_vitA_coverage,vitaminAdosecoverage,year_ORS,ORS,year_DTP,DTP3,year_Iodised,householdconsumingsalt,value_undernourishment1991,value_undernourishment2000,value_undernourishment2010,value_undernourishment2015,fruitandveg_gram1990,fruitandveg_gram2000,fruitandveg_gram2010,fruitandveg_gram2011,value_nonstaples1991,value_nonstaples2000,value_nonstaples2009,value_nonstaples2012,gender_inequality_year,gender_inequality_index,gender_inequality_rank,yearphysician,valuephysician,yearnurse,valuenurse,yearhealthworker,valuehealthworker,year_early_childbearing,early_childbearing,year_femaleED_1,rate_femaleED_1,year_femaleED_2,rate_femaleED_2,year_femaleED_3,rate_femaleED_3,year_femaleED_4,rate_femaleED_4,year_femaleED_5,rate_femaleED_5,water_piped1990,water_othimprov1990,water_unimprov1990,water_surface1990,water_piped2000,water_unimprov2000,water_othimprov2000,water_surface2000,water_piped2015,water_othimprov2015,water_unimprov2015,water_surface2015,san_improved1990,san_shared1990,san_othunimprov1990,san_opendef1990,san_improved2000,san_shared2000,san_othunimprov2000,san_opendef2000,san_improved2015,san_shared2015,san_othunimprov2015,san_opendef2015,totag_ppp1990,toteducation_ppp1990,tothealth_ppp1990,totsp_ppp1990,totag_ppp2000,toteducation_ppp2000,tothealth_ppp2000,totsp_ppp2000,totag_ppp2010,toteducation_ppp2010,tothealth_ppp2010,totsp_ppp2010,totag_ppp2012,toteducation_ppp2012,tothealth_ppp2012,totsp_ppp2012,year_code_bf,Code_breastfeeding,year_RTF,RTF_level1,year_maternityprotection,cat_maternityprotection,year_FFI,Fortification,year_policyrank,undernutritionrank_1to126,overnutritionrank_1to116,year_NCDpolicy,hypertension_policy,diabetes_policy,year_SUN,SUN_Process1,SUN_Process2,SUN_Process3,SUN_Process4,SUN_TotalAccomplished
Afghanistan,Asia,Asia,Southern Asia,32007,4807,25,5,108,105,103,100,97,,,,,,,,,,,,,,,,,2014,1877,2013,1884,2012,1893,2011,1695,2010,1637,2007,28,2013,41,2006,4,4,On course - Good progress,2013,5,265,-1.799999952,0.0,On course - At risk,2013,10,466,off course,2013,0,4,,,,,,,,,,2013,41,2004,59,1997,53,,,,,,,2014,13,19,16,2,4,3,2011,33,2339,2011,Currently off course,2013,47,,.,2008,9,9,10,2008,39,39,38,2008,22,21,23,,,,,2010,15,2010-2011,39,2011,53.6,2003,92,,,,,.,,,.,,,.,2012,,2013,97,2010,53.3,2013,71,2011,20.4,29.5,45.20000076,24.70000076,26.79999924,201,148,164,153,26,24,23,24,2013,0.705,150,2013,0.266,2009,0.5,,,2010-2011,26,2013,38,2012,38,2011,36,2010,33,2009,28,1,,,,2,39,28,31,12,43,39,6,,,,,23,8,41,28,32,12,43,13,,,,,,,,,3.7,16.6,4.1,2.4,,,,,2014,Law,.,,2011,Partial,,No Fortification,2008-2013,42,116,2010,Not available,"Available, partially implemented",,,,,,
Albania,Europe,Europe,Southern Europe,3197,200,58,22,17,17,16,15,15,2012,0,2008,0,2005,0,2004,1,2012,3,2008,2,2005,5,2004,6,2014,10160,2013,9961,2012,9811,2011,9640,2010,9374,2012,29,2009,23,46,6,4,On course - Good progress,2009,23,46,2.75,7.3,Off course - Some progress,2009,9,19,off course,2009,0,5.900000095,2008,39,on course,,,,,2009,23,2005,27,2000,39,1997,20,,,,2008,0.1,1.7,2014,58,48,53,17,19,18,2011,22,185,2011,Currently off course,,,,,2008,10,10,9,2008,45,48,42,2008,45,46,44,,,,,2008,66.8,2008-2009,99,2008,42.9,2008,61,2009,12.9,2005,2.3,MICS,2006,39.5,NS,2008-2009,38.6,DHS,2012,,,,2009,54,2013,99,2009,75.1,,,,,306,623,1030,1080,40,49,59,,2013,0.245,44,2013,1.145,2013,3.846,,,2008-2009,3,2008,80,2007,80,2006,79,2005,77,2004,74,,,,,66,3,31,1,82,13,5,0,78,6,15,1,83,7,9,1,93,7,0,0,,,,,4.5,2.5,6.0,15.3,,11.5,8.9,27.7,,,,,2014,Law,2003,Medium,2011,Yes,,Planning,2014-2020,119,55,2010,"Available, not implemented","Available, not implemented",,,,,,
Algeria,Africa,Africa,Northern Africa,40633,4633,76,9,28,27,27,26,25,,,,,1995,6,1988,7,,,,,1995,23,1988,24,2014,13179,2013,12893,2012,12779,2011,12606,2010,12494,1995,35,2012,12,523,6,3,On course - Good progress,2012,12,554,1.519999981,4.3,Off course - Some progress,2012,4,183,on course,2012,0,1.399999976,2012,26,on course,2006,6,2012,12,2005,16,2002,23,2000,24,1995,23,2011,13.7,3.2,,,,2014,56,63,59,19,31,25,2011,33,3399,2011,Currently off course,2013,11,1994,Moderate iodine deficiency,2008,9,9,9,2008,44,44,43,2008,39,37,41,,,,,2012,67.5,2012,97,2012,35.7,2012,47,2012,10.4,2000,12.6,MICS,2006,6.9,MICS,2012-13,25.7,MICS,2012,,,,2012,33.5,2013,95,2006,60.7,7.699999809,8.699999809,5.099999905,,254,320,615,671,41,40,42,45,2013,0.425,81,2007,1.207,2007,1.947,2007,0.029,,1,2011,100,2010,97,2009,92,2008,77,2007,71,67,24,8,1,72,10,18,1,77,7,16,0,80,8,4,8,84,8,2,6,88,8,3,1,,,,,2.9,21.8,4.3,14.5,3.8,14.5,4.4,15.6,,,,,2014,Few provisions law,2003,Medium,2011,Yes,,No Fortification,2012-2015,126,23,2010,"Available, fully implemented","Available, fully implemented",,,,,,
Andorra,Europe,Europe,Southern Europe,81,,85,,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,2008,43,,,,,,,,,,,,,,,,.,,,,,,,,,,,,,,,,,,,,,,,,,2014,72,62,67,29,31,30,2011,17,4,2011,Currently off course,,,,,2008,9,10,7,2008,37,43,31,2008,67,70,61,,,,,,,.,,,,,,,,,,.,,,.,,,.,2012,,,,,,2013,96,,,,,,,,,,,,,,,2013,,,2010,4,2010,4.765,,,,,,,,,,,,,,,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,,,,,,,,,,,,,,,,,,.,2003,Medium low,.,,,No Fortification,,,,2010,Not available,Not available,,,,,,
Angola,Africa,Africa,Middle Africa,22820,4145,62,5,188,182,178,173,167,,,,,2008,43,2000,54,,,,,2008,67,2000,70,2014,7546,2013,7488,2012,7230,2011,7094,2010,7047,2011,44,2007,29,1024,,6,,,,,,,,2007,8,287,off course,2007,0,4.300000191,,,,2000,12,,,,,,,2007,29,1996,62,,,,,,,2014,24,38,31,6,14,10,2011,45,2007,2011,Currently off course,2013,45,,,2008,9,8,9,2008,46,48,43,2008,31,30,32,,,,,1996,31.5,2006-2007,47,2007,54.9,,,,,,,.,,,.,,,.,2012,13.9,2013,48,,,2013,93,2007,44.7,63.5,51.09999847,20.70000076,14.19999981,157,132,408,413,41,33,40,41,2013,,,2009,0.166,2009,1.66,,,,,2011,25,2010,25,2009,24,2008,22,2002,16,5,41,30,24,8,28,38,27,15,34,20,31,22,,14,64,32,,15,53,52,,18,30,,,,,0.8,5.3,4.1,2.5,1.3,8.3,4.5,22.7,1.1,9.8,5.8,18.7,2014,Being studied,2003,Medium,2011,Partial,,No Fortification,2012-2017,126,95,2010,Not available,Not available,,,,,,
Antigua and Barbuda,Americas,Latin America and the Caribbean,Caribbean,92,7,30,14,11,10,10,10,9,,,,,,,,,,,,,,,,,2014,20797,2013,20353,2012,20577,2011,19988,2010,20567,2012,30,,,,,,,,,,,,,,,,,,,,,,,2011,6,,,,,,,,,,,,,,,,,2014,55,68,62,23,39,31,2011,25,6,2011,Currently off course,2013,4,,,2008,12,11,12,2008,42,47,38,2008,43,40,45,,,,,,,2012,100,,,,,,,,,.,,,.,,,.,2012,,,,,,2013,99,,,,,,,531,563,598,685,,,,,2013,,,1999,0.169,1999,3.282,,,,,2012,113,2011,106,2010,107,2009,108,2008,107,61,36,3,,76,2,22,,,,2,,75,,20,5,85,,14,2,,,,,,,,,,,,,,,,,,,,,,.,.,,2011,Partial,,Mandatory,,,,.,,,,,,,,
Argentina,Americas,Latin America and the Caribbean,South America,42155,3422,93,22,15,15,14,14,13,2011,1,2010,2,2009,3,2008,3,2011,3,2010,4,2009,5,2008,6,,,,,,,,,,,2003,34,2005,8,272,,4,,2005,10,329,,1.7,,2005,1,40,on course,2005,0,0.200000003,2011,33,,2011,7.2,,,,,2005,8,1996,17,1994,7,2012,28.6,5.9,,,,2014,64,60,62,24,29,26,2011,16,1607,2011,Currently off course,2013,11,,,2008,11,11,10,2008,35,42,29,2008,51,51,50,,,,,2011,89.8,2012,98,2011,52.7,2011,47,,,,,.,,,.,2011-12,32.7,MICS,2012,,,,2011,17.5,2013,87,,,,,,,371,497,387,384,65,66,64,,2013,0.381,74,2013,3.859,2004,0.481,,,2011-2012,12,2012,112,2011,97,2010,95,2009,94,2008,91,87,7,4,2,92,3,4,1,98,1,1,0,87,2,9,2,91,2,5,2,96,2,1,1,0.2,5.4,13.5,37.7,0.4,4.3,14.2,42.7,,,,,,,,,2014,Many provisions law,2003,Low,2011,Partial,,Mandatory,2016,110,116,2010,"Available, partially implemented","Available, partially implemented",,,,,,
Armenia,Asia,Asia,Western Asia,2989,199,64,21,19,18,17,16,16,2012,2,2011,2,2010,3,2009,2,2012,16,2011,18,2010,20,2009,15,2014,7763,2013,7527,2012,7291,2011,6812,2010,6508,2004,30,2010,21,45,-2,2,Off course - No progress,2010,17,36,-0.49000001,5.7,Off course - No progress,2010,4,9,on course,2010,0,2,2010,35,Off course some progress,2010,8,,,2010,21,2005,18,2000,18,1998,15,,,,2005,0.5,6.4,2014,56,55,56,17,22,20,2011,26,220,2011,Currently off course,2013,11,1998,Optimal iodine nutrition,2008,12,12,12,2008,48,50,46,2008,41,40,42,2010,32,2010,62.9,2010,92.8,2010,100,2010,35.7,2010,44,2010,13.5,2000,30,DHS,2005,32.5,DHS,2010,34.6,DHS,2012,,,,2010,33,2013,95,2005,96.8,27.29999924,21.39999962,6.5,5.800000191,,462,921,1071,36,38,56,,2013,0.325,60,2013,2.698,2013,4.834,,,,2,,,2009,104,2008,100,2007,102,2000,95,81,,,,86,7,6,0,99,1,0,0,,,,,89,3,8,0,89,3,8,0,,,,,,,,,,,,,,,,,2014,Law,2003,Medium,2011,Yes,,Planning,2014-2025,123,84,2010,"Available, partially implemented","Available, partially implemented",,,,,,
Australia,Oceania,Oceania,Australia and New Zealand,23923,1604,90,29,5,5,5,4,4,,,,,,,,,,,,,,,,,2014,43219,2013,42840,2012,42522,2011,41706,2010,41330,2008,33,2007,2,27,,5,,2007,8,104,,0.5,,2007,0,0,on course,2007,0,0,,,,2010,6.2,,,,,,,2007,2,1995,0,,,,,,,2014,70,58,64,28,29,29,2011,18,962,2011,Currently off course,,,2000,Mild iodine deficiency,2008,8,10,7,2008,32,37,26,2008,55,55,55,,,,,2008,92,1999,100,,,,,,,,,.,,,.,,,.,2012,,,,,,2013,91,,,,,,,485,517,542,521,75,75,74,,2013,0.113,19,2011,3.273,2011,10.648,2006,0.05,,,2012,132,2011,129,2010,127,2009,126,2008,125,,,0,0,,0,100,0,,,0,0,100,0,0,0,100,0,0,0,100,0,0,0,3.7,7.2,12.2,29.2,1.0,6.1,14.0,37.2,0.7,9.5,15.8,33.0,0.6,7.7,16.0,34.4,2014,Voluntary,.,,2011,Yes,,Mandatory,,,,2010,"Available, partially implemented","Available, partially implemented",,,,,,
Austria,Europe,Europe,Western Europe,8558,417,69,37,5,4,4,4,4,,,,,,,,,,,,,,,,,2014,43906,2013,44059,2012,44216,2011,44029,2010,42861,2010,32,,,,,,,,,,,,,,,,,,,,,,,2011,6.9,,,,,,,,,,,,,,,,,2014,61,45,53,21,16,18,2011,19,375,2011,Currently off course,,,1994,Optimal iodine nutrition,2008,6,7,5,2008,38,43,33,2008,60,61,58,,,,,,,1991-1993,100,,,,,,,,,.,,,.,,,.,2012,,,,,,2013,83,,,,,,,570,572,628,700,76,73,74,,2013,0.056,5,2003,3.378,2003,9.384,,,,,2012,96,2011,96,2010,97,2009,97,2008,97,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,100,0,0,0,2.0,12.9,17.0,57.6,1.1,10.7,16.1,40.6,1.0,10.8,15.5,41.3,0.9,10.8,15.3,41.1,2014,Many provisions law,2003,Medium,2011,Yes,,No Fortification,2013-2018,113,61,.,,,,,,,,
